ciudad,pais,reclat,reclong,finlat,finlong
Paris,Francia,48.86666,2.333333,40.2304,-3.77266
Berlin,Alemania,52.533,13.41,40.2304,-3.77266
Rabat,Marruecos,34.03333,-6.85,40.2304,-3.77266
Amsterdam,Holanda,52.35,4.9,40.2304,-3.77266
London,Reino Unido,51.5,-0.1666667,40.2304,-3.77266
